from,to,frequency,mean_effect,abs_mean_effect
max,mean_drawdown,1.0,-0.008816106588564614,0.008816106588564614
diff_abs_mean,kurtosis,0.91,-0.008648866575060952,0.008648866575060952
diff_mean,max_drawdown,0.94,-0.008636395656462731,0.008636395656462731
min,label_future_90d,0.8,-0.008029810358047323,0.008029810358047323
diff_abs_mean,label_future_90d,0.8,-0.007543225092615883,0.007543225092615883
trend_intercept,recent_vs_past_diff,1.0,-0.007408938109736367,0.007408938109736367
rolling_std_14d_mean,mean_drawdown,0.96,0.006340136938154254,0.006340136938154254
min,kurtosis,0.97,-0.005937330243097599,0.005937330243097599
max,rolling_std_7d_mean,0.85,-0.005635333438342988,0.005635333438342988
rolling_std_7d_mean,recent_vs_past_diff,0.81,0.00497751201077344,0.00497751201077344
trend_intercept,rolling_std_7d_mean,0.86,0.00494852197810167,0.00494852197810167
median,trend_slope_90d,0.78,-0.004754560582470132,0.004754560582470132
rolling_std_7d_mean,trend_slope_90d,0.93,-0.0041118356765557085,0.0041118356765557085
median,rolling_std_14d_mean,0.81,-0.0034363203619087153,0.0034363203619087153
diff_abs_mean,cv_90d,0.73,0.003183692875400981,0.003183692875400981
rolling_std_7d_mean,mean_drawdown,0.93,0.0028100628484400746,0.0028100628484400746
mean,rolling_std_7d_mean,0.86,0.002676567449163854,0.002676567449163854
trend_intercept,recent_change_rate,0.76,-0.002347290344517262,0.002347290344517262
std,label_future_90d,0.84,-0.0019014292451398056,0.0019014292451398056
rolling_std_30d_mean,kurtosis,0.85,-0.0012604166194574314,0.0012604166194574314
trend_intercept,rolling_std_30d_mean,0.72,-0.0007370271166914188,0.0007370271166914188
mean,max_drawdown,0.73,0.0004950267651725079,0.0004950267651725079
